id	conversation_id	created_at	date	time	timezone	user_id	username	name	place	tweet	language	mentions	urls	photos	replies_count	retweets_count	likes_count	hashtags	cashtags	link	retweet	quote_url	video	thumbnail	near	geo	source	user_rt_id	user_rt	retweet_id	reply_to	retweet_date	translate	trans_src	trans_dest
1361536112225886209	1361513442851639298	2021-02-16 10:11:19 Sri Lanka Standard Time	2021-02-16	10:11:19	+0530	14411773	mahafreed	MI		@labellagorda I’m old and tired. Managing with what I have 🤪 please forgive me hahaha	en	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/mahafreed/status/1361536112225886209	False		0								[{'screen_name': 'labellagorda', 'name': 'labellagorda', 'id': '14611279'}]				
1361536109663125505	1361450470703652865	2021-02-16 10:11:19 Sri Lanka Standard Time	2021-02-16	10:11:19	+0530	1093578058685124608	twinkrelieffund	river boy		@Schnauzer_Face he looks as tired and worried as i feel	en	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/twinkrelieffund/status/1361536109663125505	False		0								[{'screen_name': 'Schnauzer_Face', 'name': 'Neels 🐶', 'id': '1049837605431533568'}]				
1361536107750563840	1361536107750563840	2021-02-16 10:11:18 Sri Lanka Standard Time	2021-02-16	10:11:18	+0530	2661957776	hailey_delzer	hhaileyy		can we normalise having songs already released on all platforms BEFORE posting on tik tok?? I’m so tired of pre-saving songs that won’t be released for another 2 months	en	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/hailey_delzer/status/1361536107750563840	False		0								[]				
1361536106387238912	1361535789960736769	2021-02-16 10:11:18 Sri Lanka Standard Time	2021-02-16	10:11:18	+0530	2262408556	ryanisthebest9	Ryan Cleary		@5ReasonsSports Butler has to put up Lebron numbers every night for us to even have a chance. Seem like a recipe for disaster, he’s gonna be tired at the end of the year	en	[]	[]	[]	0	0	1	[]	[]	https://twitter.com/ryanisthebest9/status/1361536106387238912	False		0								[{'screen_name': '5ReasonsSports', 'name': 'Five Reasons Sports Network', 'id': '975153526367277056'}]				
1361536105321951232	1361536105321951232	2021-02-16 10:11:18 Sri Lanka Standard Time	2021-02-16	10:11:18	+0530	43531241	sujuaddict94	a tired bitch		Fuck im in loveLOOK AT HIM LOOK AY HIM IM NOT OK IM MOT	en	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/SuJuAddict94/status/1361536105321951232	False	https://twitter.com/Hapoom_BH/status/1361269768993398785	0								[]				
1361536104600494083	1361536104600494083	2021-02-16 10:11:18 Sri Lanka Standard Time	2021-02-16	10:11:18	+0530	1288788760075702275	pineappyeol	kate .◜◡◝		can we pls normalize men liking kpop?? cause im so tired of ppl calling them gay literally just bcs of that mf reason	en	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/pineappyeol/status/1361536104600494083	False	https://twitter.com/iveedls/status/1361191537409859585	0								[]				
1361536103841476610	1361536103841476610	2021-02-16 10:11:17 Sri Lanka Standard Time	2021-02-16	10:11:17	+0530	2635038089	ulineadick	Kayla		So tired of people speaking about racism! It will never end of you keep speaking about it!	en	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/ulineadick/status/1361536103841476610	False		0								[]				
1361536097143181312	1361535132457439232	2021-02-16 10:11:16 Sri Lanka Standard Time	2021-02-16	10:11:16	+0530	1282214684335190016	natxtbsl	nat🦋is tired		@adorethelights yea ok	en	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/NATXTBSL/status/1361536097143181312	False		0								"[{'screen_name': 'adorethelights', 'name': ""kiley²⁸ ♡'s n³ || fairy #1 🧚\u200d♀️"", 'id': '1324236829596540929'}]"				
1361536095867969537	1361372825555238913	2021-02-16 10:11:16 Sri Lanka Standard Time	2021-02-16	10:11:16	+0530	1069754771651780613	tiredspider	TiredSpider ✿		"@MilanLegius if it was only ""zoomers"" upset at this it wouldn't have been a scandal when it happened genius"	en	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/TiredSpider/status/1361536095867969537	False		0								[{'screen_name': 'MilanLegius', 'name': 'Opinion-Man', 'id': '1115604235'}]				
1361536091413692419	1361536091413692419	2021-02-16 10:11:14 Sri Lanka Standard Time	2021-02-16	10:11:14	+0530	1074792122115604484	tribridprinc3ss	Mama Tribrid		She tired....she'll be cuddling with her wife and they're baby girls.	en	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/TribridPrinc3ss/status/1361536091413692419	False		0								[]				
1361536091153555457	1361535853798031360	2021-02-16 10:11:14 Sri Lanka Standard Time	2021-02-16	10:11:14	+0530	1350177380338331648	gabe_moore36	still tired.		@lxttleladi Yeah haha, do the buss it challenge	en	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/gabe_moore36/status/1361536091153555457	False		0								[{'screen_name': 'lxttleladi', 'name': '𝚂𝚑𝚘𝚛𝚝.♥︎', 'id': '1296945168634073089'}]				
1361536087387234304	1361318117469732866	2021-02-16 10:11:14 Sri Lanka Standard Time	2021-02-16	10:11:14	+0530	703732670841360384	_cthesavage	tired pleb 🟣		@JonMunitz Good for you man	en	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/_cthesavage/status/1361536087387234304	False		0								"[{'screen_name': 'JonMunitz', 'name': ""The People's Basics🎙"", 'id': '715276822489997312'}]"				
1361536085151649794	1361512267725107201	2021-02-16 10:11:13 Sri Lanka Standard Time	2021-02-16	10:11:13	+0530	1306824734059819015	obakenma	ser is v tired ˎˊ˗		@tadashiflwr SO TRU	en	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/obakenma/status/1361536085151649794	False		0								[{'screen_name': 'tadashiflwr', 'name': 'april🍙', 'id': '1284604758158909441'}]				
1361536079828946950	1361536079828946950	2021-02-16 10:11:12 Sri Lanka Standard Time	2021-02-16	10:11:12	+0530	844068591553015808	rabbitcryptid	rosie again		Removing carpet sucks... we did this much and i’m tired lol  https://t.co/ChaQXJTwf6	en	[]	[]	['https://pbs.twimg.com/media/EuUl2HkUcAA-_1M.jpg']	0	0	0	[]	[]	https://twitter.com/rabbitcryptid/status/1361536079828946950	False		1	https://pbs.twimg.com/media/EuUl2HkUcAA-_1M.jpg							[]				
1361536079204081670	1361530947808735232	2021-02-16 10:11:12 Sri Lanka Standard Time	2021-02-16	10:11:12	+0530	909921944484622337	earfbellybby	reverse racist pussy		@jiggyrach1 Why would I not want more for myself 💀💀 Imma expect supplementary relationships tyvm. I feeling she preaching a lot of hot shit, i want a man to worship the ground I walk on so her lil advice is tired.	en	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/earfbellybby/status/1361536079204081670	False		0								[{'screen_name': 'jiggyrach1', 'name': 'jiggyrach', 'id': '1295802886442500096'}]				
1361536077438230532	1361536077438230532	2021-02-16 10:11:11 Sri Lanka Standard Time	2021-02-16	10:11:11	+0530	1332968195402076160	montesnaya_	naya(나야)🍁		지 져버린 난 i feel tired  #montesnaya 👼✨♾	ko	[]	[]	[]	0	0	0	['montesnaya']	[]	https://twitter.com/montesnaya_/status/1361536077438230532	False		0								[]				
1361536075005497347	1361536075005497347	2021-02-16 10:11:11 Sri Lanka Standard Time	2021-02-16	10:11:11	+0530	979068854767796225	soonyaya1	SOONYAYA.		Whyyyyy do I get so tired so earlyyyyy😩😩😩	en	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/soonyaya1/status/1361536075005497347	False		0								[]				
1361536065475989508	1361536065475989508	2021-02-16 10:11:08 Sri Lanka Standard Time	2021-02-16	10:11:08	+0530	1354653830936469509	sharinganswag55	Itachi Ackerman		Tired of people slandering Naruto and Sasuke like they aren’t the strongest 2 in the whole verse by a mile..... wtf y’all even on haha	en	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/SharinganSwag55/status/1361536065475989508	False	https://twitter.com/iamichigo7/status/1361481033531670531	0								[]				
1361536065031589893	1361536065031589893	2021-02-16 10:11:08 Sri Lanka Standard Time	2021-02-16	10:11:08	+0530	1253862382952202240	becarenia	N I A		🥺 Let’s fucking change this. I’m so tired of seeing/hearing about this.	en	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/becarenia/status/1361536065031589893	False	https://twitter.com/mikekofia/status/1361404757483610112	0								[]				
